budget,value,multiplier,opt,vcg,bfa,opt_pay,vcg_pay,bfa_pay,vcg_opt,bfa_opt,vcg_opt_pay,bfa_opt_pay
70,corridors,1.1,222.5,342.8,94,67,673.4,40.64,1.54067416,0.42247191,9.62,0.58057143
70,corridors,1.1,81,332.1,54,67,807.3,70,4.1,0.66666667,11.5328571,1
70,corridors,1.1,98.3,281.9,85,59,674.7,48.7,2.86775178,0.8646999,9.63857143,0.69571429
70,corridors,1.1,217.6,399.6,165,68,748.8,66.99,1.83639706,0.75827206,10.6971429,0.957
70,corridors,1.1,248.9,522.9,134,48,895.7,67.18,2.10084371,0.53836882,12.7957143,0.95971429
70,corridors,1.1,130,325.9,121,60,661.7,61.78,2.50692308,0.93076923,9.45285714,0.88257143
70,corridors,1.1,203,367.4,122,68,733.2,64.84,1.80985222,0.60098522,10.4742857,0.92628571
70,corridors,1.1,391.5,462.2,150,65,730.6,45.6,1.18058748,0.38314176,10.4371429,0.65142857
70,corridors,1.1,291,439.9,187,69,765.7,56.79,1.51168385,0.64261168,10.9385714,0.81128571
70,corridors,1.1,194.1,374.4,112,63,707.2,55.86,1.92890263,0.57702215,10.1028571,0.798
75,corridors,1.1,302.2,470.3,194,61,770.9,60.78,1.55625414,0.64195897,10.2786667,0.8104
75,corridors,1.1,153,322.2,107,73,639.6,69.83,2.10588235,0.69934641,8.528,0.93106667
75,corridors,1.1,291.7,480.2,199,67,821.6,47.85,1.64621186,0.68220775,10.9546667,0.638
75,corridors,1.1,385.1,493.6,221,73,761.8,64.85,1.281745,0.57387692,10.1573333,0.86466667
75,corridors,1.1,229,380.6,177,67,735.8,74.8,1.66200873,0.77292576,9.81066667,0.99733333
75,corridors,1.1,290.1,430.2,166,75,756.6,61.04,1.48293692,0.57221648,10.088,0.81386667
75,corridors,1.1,153,364.4,106,71,746.2,57.95,2.38169935,0.69281046,9.94933333,0.77266667
75,corridors,1.1,229,367.6,156,55,709.8,73.73,1.60524017,0.68122271,9.464,0.98306667
75,corridors,1.1,247,371.5,119,75,695.5,71,1.50404858,0.48178138,9.27333333,0.94666667
75,corridors,1.1,421.8,570.6,194,69,852.8,50.3,1.35277383,0.45993362,11.3706667,0.67066667
220,corridors,1.1,316.6,316.6,162,207,618.8,159.89,1,0.51168667,2.81272727,0.72677273
220,corridors,1.1,447.3,447.3,248.1,172,731.9,208.82,1,0.5546613,3.32681818,0.94918182
220,corridors,1.1,545,545,261,192,871,183.34,1,0.47889908,3.95909091,0.83336364
220,corridors,1.1,293.6,330,197.9,204,689,207.19,1.1239782,0.67404632,3.13181818,0.94177273
220,corridors,1.1,402.1,420.7,267,203,789.1,216.6,1.04625715,0.66401393,3.58681818,0.98454545
220,corridors,1.1,310.8,310.8,169,149,543.4,184.34,1,0.54375804,2.47,0.83790909
220,corridors,1.1,372.4,389.7,163,199,724.1,116.11,1.04645542,0.4377014,3.29136364,0.52777273
220,corridors,1.1,400,422.6,266.6,198,787.8,204.06,1.0565,0.6665,3.58090909,0.92754545
220,corridors,1.1,396.6,396.6,276.3,215,722.8,216.74,1,0.69667171,3.28545455,0.98518182
220,corridors,1.1,338.5,338.5,170.9,206,643.5,126.96,1,0.50487445,2.925,0.57709091
